title,percentage,cash,time
Dragões de Garagem,68%,R$ 1.717,
YBY Festival de Música Indígena Contemporânea,3%,R$ 1.706,Iniciado há<br />79 dias
O Ouvido do Bode Preto,34%,R$ 1.665,Iniciado há<br />68 dias
Mafagafo Revista & Faísca,88%,R$ 1.586,
Dia de Visita - Documentário,39%,R$ 1.565,Iniciado há<br />132 dias
Custom Shop Brasil,78%,R$ 1.565,
Diário de uma caneleira,30%,R$ 1.540,Iniciado há<br />188 dias
Avante Carlinhos,89%,R$ 1.520,
CD - Estrada Mãe,8%,R$ 1.515,47 dias
Uma casa para Karine,15%,R$ 1.505,Iniciado há<br />82 dias
Aliança pela Serra da Pedra Branca - MG,67%,R$ 1.505,
ENTRE MÃES,37%,R$ 1.500,Iniciado há<br />111 dias
Juntos por Israel - StandWithUs Brasil ,4%,R$ 1.499,
Ação de alunos - Projeto Renova Shopping Park,16%,R$ 1.475,Iniciado há<br />121 dias
Blog Um Ano Sem Lixo,36%,R$ 1.468,
FFParanapiacaba | 2019,5%,R$ 1.460,Iniciado há<br />22 dias
Estação da Cultura - Reforma do Espaço Circulador,4%,R$ 1.439,Iniciado há<br />111 dias
AJUDE A VIABILIZAR O BELTRANO!,28%,R$ 1.425,
Edições NOVA CULTURA,56%,R$ 1.421,
Amigos do Viela,17%,R$ 1.410,
Faz de Conta RPG,17%,R$ 1.390,21 dias
O SOM POR TRÁS DA NEBLINA,3%,R$ 1.380,49 dias
Punkverso,91%,R$ 1.376,
Há Tempos Não Vejo Minha Mãe ,15%,R$ 1.350,9 dias
Clube do Varal de Histórias,268%,R$ 1.340,
Pinot Noir Literatura ,13%,R$ 1.320,46 dias
Eu apoio Opera Mundi,8%,R$ 1.309,
Música para todos ,2%,R$ 1.230,Iniciado há<br />287 dias
Lançamento do filme Lila nas salas de Cinema,1%,R$ 1.230,Iniciado há<br />37 dias
RP - Construção 1911 - Lenise Gonçalves,15%,R$ 1.210,37 dias
Vamos Democratizar a Alimentação Consciente! ,24%,R$ 1.209,
Acadêmicos da 9 de Julho - Associe-se!,119%,R$ 1.195,
Sociedade Luciferiana de Estudos Esotéricos,59%,R$ 1.193,
Programa Nosso Jardim ,2%,R$ 1.170,Iniciado há<br />100 dias
A Noite Espera,13%,R$ 1.165,45 dias
QUER QUE EU DESENHE?,2%,R$ 1.152,18 dias
Dindos Cozinha Bach,45%,R$ 1.140,
LBTV,37%,R$ 1.135,
