title,percentage,cash,time
Centro de Referência no atendimento(Microcefalia),25%,R$ 51.311,
Mancha Tintas Orgânicas,102%,R$ 51.220,
Construindo a creche da Eliana Silva,127%,R$ 51.107,
NOVO CD DA BANDA DORSAL ATLÂNTICA,127%,R$ 50.866,
Últimos Deuses,169%,R$ 50.833,
Chefe Aprendiz Campo Limpo,107%,R$ 50.600,
esculpindo ar com o corpo,101%,R$ 50.600,
PiMu - A Primeira Lousa Musical do Mundo,100%,R$ 50.495,
Rastro de Cthulhu,112%,R$ 50.488,
Sabonetes Disco 2 - Projeto Catarse,127%,R$ 50.478,
Como encontrei a Alegria,107%,R$ 50.411,
Lançamento do CD Na panela pra dançar	 do Arranco de Varsóvia,104%,R$ 50.395,
Rio Doce Help,251%,R$ 50.276,
Cadernos da EAV | Encontros com Artistas,111%,R$ 50.255,
Colaboravida,105%,R$ 50.026,
Virada Educação,101%,R$ 50.007,
NOSOTRAS Tarot | Ouros & Paus - O Fim da Trilogia,384%,R$ 49.959,
Viva Wander Taffo!,100%,R$ 49.874,
Horo - A floresta dos esquecidos,206%,R$ 49.591,
SAS Brasil 6!! 6 x :-),105%,R$ 49.480,
Experiência TRES,61%,R$ 49.191,
ZR Trio - CD "O vento na madrugada soprou",102%,R$ 49.165,
Livro Meu Brasil Brasileiro,81%,R$ 49.163,
Calendário Ilustrado Athos Bulcão 2019,89%,R$ 49.137,
Reforma da Casa da Resistência em Curitiba,111%,R$ 49.055,
Mouse Guard Late Pledge,49040%,R$ 49.040,
FAÇA PARTE DO NOSSO BATUQUE,64%,R$ 48.960,
Livro "Nascer",125%,R$ 48.844,
Livro Viajo Logo Existo - 1 ano de estrada!,244%,R$ 48.800,
O Chile e a aposentadoria capitalizada,121%,R$ 48.751,
A galera do OYW quer levantar 60 casas em SP.,162%,R$ 48.674,
Kilimanjaro - o guia do Gigante da África,107%,R$ 48.555,
Super Pedro e sua Super AÇÃO,122%,R$ 48.495,
A Sonegação da Globo,193%,R$ 48.281,
Triora,160%,R$ 48.182,
Guardiões do Oceano,137%,R$ 48.137,
Unfocused,102%,R$ 48.095,
Ou Ficar a Pátria Livre	 o livro,114%,R$ 48.017,
Butim,218%,R$ 48.000,
O Entediante Trabalho de Morte Crens ,598%,R$ 47.896,
Contribua para escrachar o golpismo,119%,R$ 47.759,
Quando Sinto Que já Sei,106%,R$ 47.758,
CD Mundo Aflora,108%,R$ 47.625,
Corpo em Movimento: A Coreografia da Luz,105%,R$ 47.585,
Linha do tempo da Bienal,163%,R$ 47.567,
CHAOS,101%,R$ 47.545,
O Que Eu Faço Com a Saudade?,135%,R$ 47.436,
Equipe 50 anos,31%,R$ 47.145,
Centro de Oncologia Ocular do Amazonas,164%,R$ 46.928,
Ajude Gabriel - Menino com câncer,42%,R$ 46.868,
BLACK ALIEN - Babylon By Gus Vol. 2 "No Princípio Era o Verbo",116%,R$ 46.732,
Plumba,186%,R$ 46.698,
QUAD 3,274%,R$ 46.615,
Diário da mãe da Alice	 livro de Mariana Rosa,121%,R$ 46.570,
Mais saúde para o povo Munduruku,116%,R$ 46.547,
O Monstro - A casa no fim da rua.,178%,R$ 46.471,
Água de Moringa - 30 anos,90%,R$ 46.386,
KADIMA EM ISRAEL,115%,R$ 46.166,
CARMEM BEATRIZ NA UNIVERSIDADE DA FLÓRIDA,21%,R$ 46.135,
Discobiografia Mutante	 o livro,120%,R$ 46.089,
Atrás do Mundo,75%,R$ 45.886,
Gerson King Combo 70 Anos,101%,R$ 45.875,
Estamos em obras,120%,R$ 45.819,
Warzoo,455%,R$ 45.519,
Lost Kids: Buscando Samarkand,150%,R$ 45.254,
Vela Bikes,126%,R$ 45.240,
DÊXA EEUUU!!! ,110%,R$ 45.140,
Omnia - Piloto para TV,150%,R$ 45.069,
O Guia do Mochileiro Terráqueo,128%,R$ 45.061,
Você move o mundo,84%,R$ 45.050,
Yoga com Histórias na TV Rá Tim Bum,16%,R$ 45.017,
Oppina,102%,R$ 44.945,
O CAMINHO CERTO - LUIZA CASPARY,102%,R$ 44.940,
Pimp My Carroça Curitiba,117%,R$ 44.888,
GROK - Jogo para praticar Comunicação Não-Violenta,203%,R$ 44.847,
Livro Herói,179%,R$ 44.831,
Centro Cultural Baía dos Vermelhos: VERMELHOS 2016,27%,R$ 44.795,
BLOCO DA LAJE 2018,117%,R$ 44.787,
Baristas do Brasil no Campeonato Mundial,117%,R$ 44.780,
Crônicas RPG,213%,R$ 44.736,
Cartas Mágicas de Chinês do Pula Muralha,166%,R$ 44.731,
Petróleo,103%,R$ 44.646,
Toureando o Diabo ,127%,R$ 44.500,
Os Incríveis Parques de Miss Liz,296%,R$ 44.499,
Seu Pereira e Coletivo 401 - Gravação do 2º Álbum,128%,R$ 44.325,
Os Sketchbooks de Lourenço Mutarelli,116%,R$ 44.146,
Então	 você ama os animais?,110%,R$ 44.085,
O novo guia de Brasília,205%,R$ 44.076,
Chawan Project - Documentário,110%,R$ 44.070,
Tupinambá - O Retorno da Terra,107%,R$ 44.005,
Ceará um litoral único,117%,R$ 43.980,
Scracho F.C.,109%,R$ 43.980,
Drago - o novo CD de Marcos Sacramento,62%,R$ 43.960,
RPGQuest - Pré-Venda,8787%,R$ 43.936,
A Máscara da Morte Rubra e Outros Contos de Poe,168%,R$ 43.823,
Savage Worlds - Compêndios,230%,R$ 43.723,
A ciência das macumbas,106%,R$ 43.665,
FATE RPG - Versão Brasileira,198%,R$ 43.660,
Graphic Novel O Monstro,202%,R$ 43.643,
Cobertura Quente de Evento da ONU (COP-23),108%,R$ 43.631,
Secret Garden - 5º Meeting Nacional Lolita,256%,R$ 43.590,
Virada Política 2018,108%,R$ 43.586,
Hero Maker - Miniaturas Customizadas,174%,R$ 43.567,
Inovação Educacional em foco,107%,R$ 43.430,
Lenora,144%,R$ 43.318,
Isabella Taviani - Shows de lançamento do novo CD,72%,R$ 43.300,
Mary	 a Rainha da Escócia,164%,R$ 43.298,
