contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
381 pessoas,Meta R$ 23.000,R$ 34.655,Campanha Tudo-ou-nada , Brasília	 DF,Nudus Magazine #5,150%,R$ 34.655,31/03/2018,/nudusmagazine5?ref=ctrse_explore
239 pessoas,Meta R$ 28.985,R$ 34.579,Campanha Tudo-ou-nada , Vitória	 ES,André Prando - novo disco: VOADOR!,119%,R$ 34.579,14/07/2018,/andreprando?ref=ctrse_explore
187 pessoas,Meta R$ 30.000,R$ 34.510,Campanha Tudo-ou-nada , Campinas	 SP,Expedicionários da Saúde no Xingu,115%,R$ 34.510,05/04/2014,/edsxingu2014?ref=ctrse_explore
106 pessoas,Meta R$ 32.000,R$ 34.477,Campanha Tudo-ou-nada , Curitiba	 PR,MEMORIA DOS DESBRAVADORES DE CAVERNAS,107%,R$ 34.477,10/03/2016,/memoriascavernas?ref=ctrse_explore
162 pessoas,Meta R$ 26.000,R$ 34.473,Campanha Tudo-ou-nada , São Paulo	 SP,Mural da Luz: uma pintura de Daniel Melim,132%,R$ 34.473,17/02/2013,/mural_da_luz_daniel_melim?ref=ctrse_explore
116 pessoas,Meta R$ 30.000,R$ 34.435,Campanha Tudo-ou-nada , São Paulo	 SP,Nossa Classe,114%,R$ 34.435,12/03/2016,/nossaclasse2016?ref=ctrse_explore
350 pessoas,Meta R$ 50.000,R$ 34.383,Campanha Flexível , Rio de Janeiro	 RJ,Aos Fatos: em busca da verdade em novos formatos,68%,R$ 34.383,06/06/2017,/aosfatos?ref=ctrse_explore
382 pessoas,Meta R$ 21.800,R$ 34.357,Campanha Flexível , São Paulo	 SP,Mulheres & Quadrinhos,157%,R$ 34.357,16/07/2019,/mulheresequadrinhos?ref=ctrse_explore
292 pessoas,Meta R$ 30.000,R$ 34.295,Campanha Tudo-ou-nada , São Paulo	 SP,Oceano ,114%,R$ 34.295,15/05/2015,/oceanofilme?ref=ctrse_explore
624 pessoas,Meta R$ 30.000,R$ 34.270,Campanha Flexível , Brumadinho	 MG,Brumadinho Invisível,114%,R$ 34.270,05/02/2019,/brumadinhoinvisivel?ref=ctrse_explore
204 pessoas,Meta R$ 31.970,R$ 34.260,Campanha Tudo-ou-nada , São Paulo	 SP,Quando parei de me preocupar com canalhas | curta de ficção,107%,R$ 34.260,11/09/2013,/canalhas?ref=ctrse_explore
513 pessoas,Meta R$ 23.730,R$ 34.253,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Urbano Ornamento: memória gráfica das grades ornamentais,144%,R$ 34.253,18/11/2013,/urbanoOrnamento?ref=ctrse_explore
425 pessoas,Meta R$ 30.000,R$ 34.210,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Novo CD Seu Cuca,114%,R$ 34.210,07/04/2014,/seucuca?ref=ctrse_explore
462 pessoas,Meta R$ 25.915,R$ 34.191,Campanha Tudo-ou-nada , São Paulo	 SP,Grudi: Suporte Magnético de Celular,131%,R$ 34.191,09/11/2016,/grudi?ref=ctrse_explore
127 pessoas,Meta R$ 30.000,R$ 34.183,Campanha Flexível , São Paulo	 SP,O PH quer levantar 60 casas em SP. Apoie!,113%,R$ 34.183,09/05/2019,/phteto?ref=ctrse_explore
